SITE_ID,ABMA,PIAL,TSME,ALIN,PUTR,xcoord,ycoord
519168001,1,0,0,0,0,764705,4297290
519168002,1,0,0,0,0,761876,4298710
519168003,1,0,0,0,0,766133,4305130
519168004,1,0,0,0,0,766643,4304500
519168005,1,0,0,0,0,766505,4313300
519168006,1,0,0,0,0,765329,4312700
519168007,1,0,0,0,0,754758,4305500
519168009,1,0,0,0,0,745921,4326320
519168010,1,0,0,0,0,743178,4324140
519168011,0,0,0,0,0,745051,4324520
519168012,1,0,0,0,0,744804,4324950
519168013,1,0,0,0,0,746220,4321430
519168014,1,0,0,0,0,746387,4321310
519168015,1,0,0,0,0,748719,4320870
519168016,1,0,1,0,0,747766,4320430
519168017,1,0,1,0,0,748207,4320070
519168018,1,0,0,0,0,746030,4321150
519168021,1,0,0,0,0,760403,4302000
519168022,1,0,0,0,0,767878,4321040
519168023,1,0,0,0,0,769082,4326020
519168024,1,0,0,0,0,768410,4323890
519168025,1,0,0,0,1,768713,4330720
519168026,1,0,0,0,0,769031,4316900
519168027,1,0,0,0,0,763921,4304380
519168028,0,0,1,0,0,763239,4298500
519168029,1,0,0,0,0,764876,4303700
519168030,1,0,0,0,0,764872,4301820
5193475,1,0,0,0,0,743095,4326480
5193477,1,0,0,0,0,743623,4325170
5193478,1,0,1,0,0,744131,4324640
5193480,1,0,1,0,0,743851,4324200
5193484,0,0,0,0,0,745297,4326650
5193485,0,0,0,1,0,746264,4326860
5193487,1,0,0,0,0,745555,4325380
5193489,1,0,1,0,0,743826,4327560
5193502,1,0,0,0,0,745374,4325750
5193503,1,0,0,0,0,742828,4324900
5193504,1,0,0,0,0,745337,4327960
5193506,0,0,0,0,0,745709,4325720
5193507,0,0,0,0,0,744646,4325870
5193508,1,0,0,0,0,745795,4325670
5193510,0,0,0,0,0,745053,4326790
5193511,0,0,0,0,0,744855,4326740
5193514,1,0,0,0,0,744460,4326680
5193515,1,0,0,0,0,744445,4326790
5193519,0,0,0,0,0,745046,4326940
5193522,1,0,0,0,0,745753,4327700
5193523,0,0,0,1,0,745704,4327860
5193524,0,0,0,0,0,746271,4326040
5193533,0,0,0,0,0,745561,4326750
5193536,0,0,0,0,0,745527,4327140
5193539,0,0,0,0,0,744599,4325100
5193540,1,0,1,0,0,744413,4324840
5193541,1,0,0,0,0,744559,4324650
5193542,1,0,0,0,0,745128,4324790
5193547,0,0,0,0,0,745005,4326220
5193548,0,0,0,0,0,745394,4326300
5193554,1,0,0,0,0,743970,4327510
5193555,1,0,0,0,0,744270,4327460
5193558,1,0,0,0,0,744242,4327410
5193563,1,0,1,0,0,742755,4326440
5193564,1,0,0,0,0,743277,4325730
5193566,1,0,0,0,0,743078,4325450
0,0,0,0,0,0,768041,4342710
0,0,0,0,0,0,767753,4323582
0,0,0,0,0,1,764938,4319560
0,0,0,0,0,0,764626,4323783
0,0,0,0,0,0,769070,4330629
0,0,0,0,0,0,765094,4326216
0,0,0,0,0,0,764855,4335498
0,1,0,0,0,0,768892,4330769
0,0,0,0,0,0,751191,4319128
0,0,0,0,0,0,758187,4304907
0,0,0,0,0,0,759195,4306030
0,0,0,0,0,0,758426,4305720
0,0,0,0,0,0,758358,4306474
0,0,0,0,0,0,758635,4301910
0,0,0,0,1,0,757685,4306632
0,0,0,0,0,0,747726,4324266
0,0,0,0,0,0,753453,4304042
0,0,0,0,0,0,760803,4307170
0,0,0,0,0,0,761104,4305110
0,0,0,0,0,0,760450,4307460
0,0,0,0,0,1,761934,4308380
0,0,0,0,0,0,761678,4308380
0,0,0,0,0,0,760997,4305101
0,0,0,0,0,0,762189,4308697
0,0,0,0,0,1,762572,4313140
0,0,0,0,0,0,763463,4312430
0,0,0,0,0,0,761079,4312786
0,0,0,0,0,1,761975,4312080
0,0,0,0,0,0,741501,4328951
0,0,0,0,0,0,757476,4312970
0,0,0,0,0,0,759391,4311021
0,1,0,0,0,0,748680,4346460
0,0,0,0,0,1,761414,4306830
0,0,0,0,0,1,761106,4306270
0,0,0,0,0,1,762250,4307820
0,0,0,0,0,1,763292,4312560
0,0,0,0,0,0,753088,4307090
0,0,0,0,0,0,760095,4292676
0,0,0,0,0,0,759560,4291119
0,0,0,0,0,0,760158,4291645
0,0,0,0,0,0,742936,4332640
0,0,0,0,0,0,749974,4306955
0,0,0,0,0,0,742976,4332736
0,0,0,0,0,0,743030,4332074
0,1,1,0,0,0,768377,4325178
0,0,0,0,0,0,767783,4326496
0,1,0,0,0,0,769009,4324493
0,0,1,0,0,0,768076,4314190
0,0,1,0,0,0,763476,4355770
0,0,1,0,0,0,763421,4355638
0,0,1,0,0,0,768503,4305645
0,0,0,0,0,0,759826,4289180
0,1,0,0,0,0,758353,4291970
0,0,0,0,0,0,766735,4304840
0,0,1,1,0,0,767787,4306510
0,0,1,0,0,0,768757,4307350
0,1,0,0,0,0,769625,4308900
0,0,0,0,0,0,756324,4292660
0,1,1,0,0,0,768585,4327800
0,0,0,0,0,0,760116,4292670
0,1,0,0,0,0,767910,4327800
0,0,0,0,0,0,769501,4338520
0,1,1,0,0,0,766931,4347700
0,1,0,1,0,0,761410,4292820
0,0,0,0,0,0,766976,4352690
0,0,1,0,0,0,766815,4353310
0,0,0,0,0,0,759192,4292830
0,1,0,0,0,0,759192,4292830
0,1,0,0,0,0,758903,4351930
0,1,0,0,0,0,757660,4352050
0,0,0,0,0,0,756812,4352420
0,1,0,0,0,0,755109,4352070
0,0,0,0,0,0,756517,4292680
0,0,0,0,0,0,756768,4292650
0,0,0,0,0,0,757174,4294630
0,0,0,1,0,0,738252,4331160
0,1,0,1,0,0,742466,4330400
0,1,0,0,0,0,742519,4329340
0,1,0,0,0,0,762380,4294910
0,1,0,0,0,0,759213,4294940
0,0,0,1,0,0,742592,4326160
0,1,0,1,0,0,756584,4295450
0,0,0,0,0,0,761469,4289490
0,0,1,0,0,0,757566,4295450
0,1,0,0,0,0,759125,4295940
0,0,0,0,0,0,758807,4295880
0,1,0,0,0,0,757585,4296520
0,0,0,0,0,0,762834,4296580
0,0,1,0,0,0,758595,4296560
0,1,0,0,0,0,758743,4296190
0,0,1,0,0,0,756537,4296970
0,0,1,0,0,0,761901,4289640
0,0,0,1,0,0,756246,4297580
0,0,0,0,0,0,761853,4299740
0,1,0,0,0,0,761973,4300010
0,0,0,0,0,0,766083,4300200
0,0,0,0,0,0,765111,4300170
0,0,0,0,0,0,765110,4300140
0,1,0,0,0,0,764999,4300360
0,0,0,0,0,0,766448,4300510
0,0,1,0,0,0,765615,4300470
0,1,0,1,0,0,766140,4302000
0,0,0,0,0,0,758665,4289860
0,1,0,0,0,0,765610,4301940
0,0,0,0,0,0,767879,4302910
0,0,0,0,0,0,767834,4302913
0,0,0,0,0,0,767377,4304270
0,0,1,0,0,0,767428,4304510
0,0,1,0,0,0,768248,4304490
0,0,0,0,0,0,769883,4305600
0,0,1,0,0,0,768505,4305530
0,0,0,0,0,0,769035,4305770
0,0,0,0,0,0,770027,4306210
0,0,0,0,0,0,770125,4306150
0,0,1,0,0,0,767244,4306520
0,0,0,0,0,0,760366,4290040
0,0,1,1,0,0,770349,4307210
0,0,1,1,0,0,769235,4307200
0,0,0,0,0,0,769216,4307500
0,1,1,0,0,0,765855,4307740
0,0,0,0,0,0,765448,4308070
0,0,1,0,0,0,770295,4308530
0,0,1,0,0,0,770338,4309990
0,0,0,0,0,0,767753,4323580
0,0,0,0,0,0,759560,4291120
0,1,1,0,0,0,768377,4325180
0,1,0,0,0,0,768717,4327980
0,0,0,0,0,1,769203,4328060
0,0,0,0,0,1,768131,4328260
0,0,0,0,0,0,767106,4342250
0,0,0,0,0,0,767290,4342080
0,0,0,0,0,0,760158,4291650
0,0,0,0,0,1,767995,4342580
0,0,0,0,0,1,767406,4342760
0,0,0,0,0,0,761880,4291530
0,0,0,1,0,0,759228,4292040
0,0,0,0,0,0,764515,4298071
0,0,0,0,0,0,764653,4297739
0,0,0,0,0,0,764424,4298112
0,0,0,0,0,0,764230,4298209
0,0,0,0,0,0,764222,4298106
0,0,0,0,0,0,765615,4301665
0,0,0,0,0,0,765164,4301790
0,0,0,0,0,0,765181,4302144
0,0,0,0,0,0,766024,4302030
0,0,0,0,0,0,764135,4322707
0,0,0,0,0,0,764108,4322689
0,0,0,0,0,0,764156,4322545
0,0,0,0,0,0,757788,4311440
0,0,0,0,0,0,762655,4306980
0,0,0,0,0,0,757614,4309309
0,0,0,0,0,0,760872,4306360
0,0,0,0,0,0,760908,4306180
0,0,0,0,0,0,762328,4309255
0,0,0,0,0,0,760909,4309278
0,0,0,0,0,0,746521,4340655
0,0,0,0,0,0,745796,4339670
0,0,0,0,0,0,745715,4339694
0,1,0,0,0,0,748311,4345924
0,0,0,0,0,0,752658,4349334
0,0,0,0,0,0,762406,4312390
0,0,0,0,0,0,760750,4311422
0,0,0,0,0,0,763049,4313460
0,0,0,0,0,0,762248,4308470
0,0,0,0,0,0,761365,4313586
0,0,0,0,0,0,756107,4311600
0,0,0,0,0,0,756086,4311740
0,0,0,0,0,0,752090,4307190
0,0,0,0,0,0,760722,4311940
0,0,0,0,0,0,760853,4312020
0,0,0,0,0,0,760814,4312120
0,0,0,0,0,0,760983,4312180
0,0,0,0,0,0,761852,4299739
0,0,0,0,0,0,765110,4300169
0,0,0,0,0,0,765109,4300136
0,0,0,0,0,0,767878,4302912
0,0,0,0,0,0,769215,4307500
0,0,0,0,0,0,767289,4342075
0,0,0,0,0,0,760289,4313510
0,0,0,0,0,0,765324,4318730
0,0,0,0,0,0,765280,4318690
0,0,0,0,0,0,765247,4318770
0,0,0,0,0,0,765214,4318780
0,0,0,0,0,0,766980,4319350
0,0,0,0,0,0,764906,4335217
0,0,0,0,0,0,764857,4335108
0,0,0,0,0,0,764698,4334710
0,0,0,0,0,0,759790,4297870
0,0,0,0,0,0,748108,4317250
0,0,0,0,0,0,748059,4317888
0,0,0,0,0,0,757763,4304430
0,0,0,0,0,0,757759,4304370
0,0,0,0,0,0,768433,4340465
0,0,0,0,0,0,760778,4296491
0,0,0,0,0,0,760903,4296472
0,0,0,0,0,0,760483,4296377
0,0,0,0,0,0,751768,4306710
0,0,0,0,0,0,766996,4352686
0,0,0,0,0,0,762086,4313443
0,0,0,0,0,0,761981,4313374
0,0,0,0,0,0,761969,4313362
0,0,0,0,0,0,762075,4313435
0,0,0,0,0,0,762067,4313428
0,0,0,0,0,0,762055,4313414
0,0,0,0,0,0,762042,4313407
0,0,0,0,0,0,762026,4313393
0,0,0,0,0,0,762014,4313399
0,0,0,0,0,0,761999,4312386
0,0,0,0,0,0,761990,4313380
0,0,0,0,0,0,762545,4312440
0,0,0,0,0,0,762528,4312418
0,0,0,0,0,0,762507,4312433
0,0,0,0,0,0,762504,4312424
0,0,0,0,0,0,762480,4312418
0,0,0,0,0,0,762465,4312409
0,0,0,0,0,0,762450,4312404
0,0,0,0,0,0,760752,4314189
0,0,0,0,0,0,760601,4314085
0,0,0,0,0,0,760584,4314073
